,movie_id,title,tags
16,24428,The Avengers,"when an unexpect enemi emerg and threaten global safeti and security, nick fury, director of the intern peacekeep agenc known as s.h.i.e.l.d., find himself in need of a team to pull the world back from the brink of disaster. span the globe, a dare recruit effort begins! science_fict action adventur new_york shield marvel_com superhero based_on_comic_book alien_invas superhero_team aftercreditssting duringcreditssting marvel_cinematic_univers robert_downey_jr. chris_evan mark_ruffalo chris_hemsworth scarlett_johansson joss_whedon"
17,1865,Pirates of the Caribbean: On Stranger Tides,"captain jack sparrow cross path with a woman from hi past, and he' not sure if it' love -- or if she' a ruthless con artist who' use him to find the fabl fountain of youth. when she forc him aboard the queen anne' revenge, the ship of the formid pirat blackbeard, jack find himself on an unexpect adventur in which he doesn't know who to fear more: blackbeard or the woman from hi past. adventur action fantasi sea captain mutini sword prime_minist sail silver ship duke mermaid pirat soldier battl swashbuckl aftercreditssting 3d johnny_depp penélope_cruz ian_mcshan kevin_mcn geoffrey_rush rob_marshal"
18,41154,Men in Black 3,"agent j (will smith) and k (tommi lee jones) are back...in time. j ha seen some inexplic thing in hi 15 year with the men in black, but nothing, not even aliens, perplex him as much as hi wry, retic partner. but when k' life and the fate of the planet are put at stake, agent j will have to travel back in time to put thing right. j discov that there are secret to the univers that k never told him - secret that will reveal themselv as he team up with the young agent k (josh brolin) to save hi partner, the agency, and the futur of humankind. action comedi science_fict time_travel time_machin alien fictional_government_ag seeing_the_futur changing_histori will_smith tommy_lee_jon josh_brolin michael_stuhlbarg emma_thompson lowell_cunningham barry_sonnenfeld"
19,122917,The Hobbit: The Battle of the Five Armies,"immedi after the event of the desol of smaug, bilbo and the dwarv tri to defend erebor' mountain of treasur from other who claim it: the men of the ruin laketown and the elv of mirkwood. meanwhil an armi of orc led by azog the defil is march on erebor, fuel by the rise of the dark lord sauron. dwarves, elv and men must unite, and the hope for middle-earth fall into bilbo' hands. action adventur fantasi corrupt elv dwarv orc middle-earth_(tolkien) hobbit dragon battl unlikely_friendship epic_battl sword_and_sorceri martin_freeman ian_mckellen richard_armitag ken_stott graham_mctavish philippa_boyen peter_jackson guillermo_del_toro fran_walsh"
20,1930,The Amazing Spider-Man,"peter parker is an outcast high schooler abandon by hi parent as a boy, leav him to be rais by hi uncl ben and aunt may. like most teenagers, peter is tri to figur out who he is and how he got to be the person he is today. as peter discov a mysteri briefcas that belong to hi father, he begin a quest to understand hi parents' disappear – lead him directli to oscorp and the lab of dr. curt connors, hi father' former partner. as spider-man is set on a collis cours with connors' alter ego, the lizard, peter will make life-alt choic to use hi power and shape hi destini to becom a hero. action adventur fantasi loss_of_fath vigilant serum marvel_com scientific_experi spider_bit masked_vigilant reboot super_pow genetic_engin social_outcast duringcreditssting andrew_garfield emma_ston rhys_ifan denis_leari campbell_scott marc_webb"
21,20662,Robin Hood,"when soldier robin happen upon the die robert of loxley, he promis to return the man' sword to hi famili in nottingham. there, he assum robert' identity; romanc hi widow, marion; and draw the ire of the town' sheriff and king john' henchman, godfrey. action adventur robin_hood archer knight sherwood_forest bow_and_arrow middle_ag mediev king_of_england russell_crow cate_blanchett max_von_sydow william_hurt mark_strong ridley_scott"
22,57158,The Hobbit: The Desolation of Smaug,"the dwarves, bilbo and gandalf have success escap the misti mountains, and bilbo ha gain the one ring. they all continu their journey to get their gold back from the dragon, smaug. adventur fantasi elv dwarv orc hobbit dragon wizard sword_and_sorceri martin_freeman ian_mckellen richard_armitag ken_stott graham_mctavish peter_jackson"
23,2268,The Golden Compass,"after overhear a shock secret, precoci orphan lyra belacqua trade her carefre exist roam the hall of jordan colleg for an otherworldli adventur in the far north, unawar that it' part of her destiny. adventur fantasi england compass experi lordship uncl polar_bear orphan anim based_on_young_adult_novel dakota_blue_richard nicole_kidman daniel_craig sam_elliott eva_green chris_weitz"
24,254,King Kong,"in 1933 new york, an overli ambiti movi produc coerc hi cast and hire ship crew to travel to mysteri skull island, where they encount kong, a giant ape who is immedi smitten with the lead lady. adventur drama action film_busi screenplay show_busi film_mak film_produc exotic_island monster indigen ship dinosaur naomi_watt jack_black adrien_brodi thomas_kretschmann colin_hank peter_jackson"
25,597,Titanic,"84 year later, a 101-year-old woman name rose dewitt bukat tell the stori to her granddaught lizzi calvert, brock lovett, lewi bodine, bobbi buell and anatoli mikailavich on the keldysh about her life set in april 10th 1912, on a ship call titan when young rose board the depart ship with the upper-class passeng and her mother, ruth dewitt bukater, and her fiancé, caledon hockley. meanwhile, a drifter and artist name jack dawson and hi best friend fabrizio de rossi win third-class ticket to the ship in a game. and she explain the whole stori from departur until the death of titan on it first and last voyag april 15th, 1912 at 2:20 in the morning. drama romanc thriller shipwreck iceberg ship panic titan ocean_lin epic rich_woman_-_poor_man love disast tragic_lov class_differ imax star_crossed_lov steerag salvag rich_snob 3d 1910 kate_winslet leonardo_dicaprio frances_fish billy_zan kathy_b james_cameron"
26,271110,Captain America: Civil War,"follow the event of age of ultron, the collect govern of the world pass an act design to regul all superhuman activity. thi polar opinion amongst the avengers, caus two faction to side with iron man or captain america, which caus an epic battl between former allies. adventur action science_fict civil_war war marvel_com sequel superhero based_on_comic_book imax aftercreditssting duringcreditssting marvel_cinematic_univers 3d chris_evan robert_downey_jr. scarlett_johansson sebastian_stan anthony_macki joe_russo anthony_russo"
27,44833,Battleship,"when mankind beam a radio signal into space, a repli come from ‘planet g’, in the form of sever alien craft that splash down in the water off hawaii. lieuten alex hopper is a weapon offic assign to the uss john paul jones, part of an intern naval coalit which becom the world' last hope for surviv as they engag the hostil alien forc of unimagin strength. while take on the invaders, hopper must also tri to live up to the potenti hi brother, and hi fiancée' father, admir shane, expect of him. thriller action adventur science_fict fight u.s._navi mind_read hong_kong soccer scientist fictional_war naval armada battleship naval_combat jds_myoko lost_commun taser buoy communications_expert joint_chiefs_of_staff crash_land jet_fighter_pilot navy_lieuten permission_to_marri uss_john_paul_jon based_on_board_gam aftercreditssting mighty_mo uss_missouri taylor_kitsch alexander_skarsgård rihanna brooklyn_deck tadanobu_asano peter_berg"
28,135397,Jurassic World,"twenty-two year after the event of jurass park, isla nublar now featur a fulli function dinosaur theme park, jurass world, as origin envis by john hammond. action adventur science_fict thriller monster dna tyrannosaurus_rex velociraptor island sequel suspens disast escap dinosaur amusement_park animal_attack theme_park jurassic_park 3d animal_horror chris_pratt bryce_dallas_howard irrfan_khan vincent_d'onofrio nick_robinson colin_trevorrow"
29,37724,Skyfall,"when bond' latest assign goe grave wrong and agent around the world are exposed, mi6 is attack forc m to reloc the agency. these event caus her author and posit to be challeng by gareth mallory, the new chairman of the intellig and secur committee. with mi6 now compromis from both insid and out, m is left with one alli she can trust: bond. 007 take to the shadow - aid onli by field agent, eve - follow a trail to the mysteri silva, whose lethal and hidden motiv have yet to reveal themselves. action adventur thriller spi secret_ag sociopath killer art_galleri british_secret_servic istanbul_turkey imax uzi booby_trap impersonating_a_police_offic macao daniel_craig judi_dench javier_bardem ralph_fienn naomie_harri sam_mend neal_purvi robert_wad john_logan"
30,558,Spider-Man 2,"peter parker is go through a major ident crisis. burn out from be spider-man, he decid to shelv hi superhero alter ego, which leav the citi suffer in the wake of carnag left by the evil doc ock. in the meantime, parker still can't act on hi feel for mari jane watson, a girl he' love sinc childhood. action adventur fantasi dual_ident love_of_one's_lif pizza_boy marvel_com sequel superhero doctor scientist tentacl death super_villain tobey_maguir kirsten_dunst james_franco alfred_molina rosemary_harri sam_raimi"
31,68721,Iron Man 3,"when toni stark' world is torn apart by a formid terrorist call the mandarin, he start an odyssey of rebuild and retribution. action adventur science_fict terrorist war_on_terror tennesse malibu marvel_com superhero based_on_comic_book tony_stark iron_man aftercreditssting marvel_cinematic_univers mandarin 3d war_machin iron_patriot extremi robert_downey_jr. gwyneth_paltrow don_cheadl guy_pearc rebecca_hal shane_black"
32,12155,Alice in Wonderland,"alice, an unpretenti and individu 19-year-old, is betroth to a dunc of an english nobleman. at her engag party, she escap the crowd to consid whether to go through with the marriag and fall down a hole in the garden after spot an unusu rabbit. arriv in a strang and surreal place call 'underland,' she find herself in a world that resembl the nightmar she had as a child, fill with talk animals, villain queen and knights, and frumiou bandersnatches. alic realiz that she is there for a reason – to conquer the horrif jabberwocki and restor the right queen to her throne. famili fantasi adventur based_on_novel fictional_plac queen fantasi alice_in_wonderland fantasy_world 3d mia_wasikowska johnny_depp anne_hathaway helena_bonham_cart crispin_glov tim_burton"
33,36668,X-Men: The Last Stand,"when a cure is found to treat mutations, line are drawn amongst the x-men and the brotherhood, a band of power mutant organ under xavier' former ally, magneto. adventur action science_fict thriller mutant marvel_com based_on_comic_book superhuman beast cyclop aftercreditssting hugh_jackman halle_berri ian_mckellen patrick_stewart famke_janssen brett_ratn"
34,62211,Monsters University,a look at the relationship between mike and sulley dure their day at monster univers — when they weren't necessarili the best of friends. anim famili monster dormitori game anim best_friend univers scari aftercreditssting billy_cryst john_goodman steve_buscemi helen_mirren noah_johnston dan_scanlon
35,8373,Transformers: Revenge of the Fallen,"sam witwicki leav the autobot behind for a normal life. but when hi mind is fill with cryptic symbols, the decepticon target him and he is drag back into the transformers' war. science_fict action adventur egypt sun chao symbol artifact transform tank robot imax duringcreditssting shia_labeouf megan_fox josh_duhamel rainn_wilson tyrese_gibson michael_bay"
36,91314,Transformers: Age of Extinction,"as human pick up the pieces, follow the conclus of ""transformers: dark of the moon,"" autobot and decepticon have all but vanish from the face of the planet. however, a group of powerful, ingeni businessman and scientist attempt to learn from past transform incurs and push the boundari of technolog beyond what they can control - all while an ancient, power transform menac set earth in hi cross-hairs. science_fict action adventur sequel alien transform giant_robot robot imax transforming_robot mark_wahlberg stanley_tucci kelsey_gramm nicola_peltz jack_reynor michael_bay"
37,68728,Oz: The Great and Powerful,"oscar diggs, a small-tim circu illusionist and con-artist, is whisk from kansa to the land of oz where the inhabit assum he' the great wizard of prophecy, there to save oz from the clutch of evil. fantasi adventur famili circu witch magic hope illus lost magic_trick wizard 3d james_franco mila_kuni rachel_weisz michelle_william zach_braff sam_raimi"
38,102382,The Amazing Spider-Man 2,"for peter parker, life is busy. between take out the bad guy as spider-man and spend time with the person he loves, gwen stacy, high school graduat cannot come quickli enough. peter ha not forgotten about the promis he made to gwen’ father to protect her by stay away, but that is a promis he cannot keep. thing will chang for peter when a new villain, electro, emerges, an old friend, harri osborn, returns, and peter uncov new clue about hi past. action adventur fantasi obsess marvel_com sequel based_on_comic_book electrocut medical_experi electr super_pow andrew_garfield emma_ston jamie_foxx dane_dehaan campbell_scott marc_webb"
39,20526,TRON: Legacy,"sam flynn, the tech-savvi and dare son of kevin flynn, investig hi father' disappear and is pull into the grid. with the help of a mysteri program name quorra, sam quest to stop evil dictat clu from cross into the real world. adventur action science_fict artificial_intellig secret_ident computer_program dystopia comput decept duel motorcycl neon_light autocraci garrett_hedlund jeff_bridg olivia_wild bruce_boxleitn yaya_dacosta joseph_kosinski"
40,49013,Cars 2,star race car lightn mcqueen and hi pal mater head oversea to compet in the world grand prix race. but the road to the championship becom rocki as mater get caught up in an intrigu adventur of hi own: intern espionage. anim famili adventur comedi car_rac sequel comedi anthropomorph best_friend duringcreditssting owen_wilson larry_the_cable_guy michael_cain emily_mortim john_turturro brad_lewi john_lasset
41,44912,Green Lantern,"for centuries, a small but power forc of warrior call the green lantern corp ha sworn to keep intergalact order. each green lantern wear a ring that grant him superpowers. but when a new enemi call parallax threaten to destroy the balanc of power in the universe, their fate and the fate of earth lie in the hand of the first human ever recruited. adventur action thriller science_fict dc_comic transform superhero alien alien_infect magical_object protector super_pow origin 3d ryan_reynold blake_l peter_sarsgaard tim_robbin mark_strong martin_campbel"
42,10193,Toy Story 3,"woody, buzz, and the rest of andy' toy haven't been play with in years. with andi about to go to college, the gang find themselv accident left at a nefari day care center. the toy must band togeth to escap and return home to andy. anim famili comedi hostag colleg toy barbi anim escap day_car teddy_bear duringcreditssting toy_comes_to_lif personif inanimate_objects_coming_to_lif toy_stori tom_hank tim_allen ned_beatti joan_cusack michael_keaton lee_unkrich"
43,534,Terminator Salvation,"all grown up in post-apocalypt 2018, john connor must lead the resist of human against the increasingli domin militarist robots. but when marcu wright appears, hi exist confus the mission as connor tri to determin whether wright ha come from the futur or the past -- and whether he' friend or foe. action science_fict thriller saving_the_world artificial_intellig propheci san_francisco cyborg killer_robot gas_stat post-apocalypt dystopia armi firearm wartim los_angel christian_bal sam_worthington anton_yelchin moon_bloodgood bryce_dallas_howard john_d._brancato michael_ferri mcg"
44,168259,Furious 7,deckard shaw seek reveng against domin toretto and hi famili for hi comatos brother. action car_rac speed reveng suspens car race muscle_car vin_diesel paul_walk dwayne_johnson michelle_rodriguez tyrese_gibson chris_morgan james_wan
45,72190,World War Z,"life for former unit nation investig gerri lane and hi famili seem content. suddenly, the world is plagu by a mysteri infect turn whole human popul into rampag mindless zombies. after bare escap the chaos, lane is persuad to go on a mission to investig thi disease. what follow is a peril trek around the world where lane must brave horrif danger and long odd to find answer befor human civil falls. action drama horror science_fict thriller dystopia apocalyps zombi nuclear_weapon multiple_perspect zombie_apocalyps brad_pitt mireille_eno abigail_hargrov sterling_jerin james_badge_dal marc_forst"
46,127585,X-Men: Days of Future Past,the ultim x-men ensembl fight a war for the surviv of the speci across two time period as they join forc with their younger selv in an epic battl that must chang the past – to save our future. action adventur fantasi science_fict 1970 mutant time_travel marvel_com based_on_comic_book superhuman storm beast aftercreditssting changing_the_past_or_futur hugh_jackman james_mcavoy michael_fassbend jennifer_lawr halle_berri bryan_sing
47,54138,Star Trek Into Darkness,"when the crew of the enterpris is call back home, they find an unstopp forc of terror from within their own organ ha deton the fleet and everyth it stand for, leav our world in a state of crisis. with a person score to settle, captain kirk lead a manhunt to a war-zon world to captur a one man weapon of mass destruction. as our hero are propel into an epic chess game of life and death, love will be challenged, friendship will be torn apart, and sacrific must be made for the onli famili kirk ha left: hi crew. action adventur science_fict spacecraft friendship sequel futurist space alien imax space_opera terrorist_bomb 3d chris_pin zachary_quinto zoe_saldana karl_urban simon_pegg j.j._abram"
48,81005,Jack the Giant Slayer,"the stori of an ancient war that is reignit when a young farmhand unwittingli open a gateway between our world and a fearsom race of giants. unleash on the earth for the first time in centuries, the giant strive to reclaim the land they onc lost, forc the young man, jack into the battl of hi life to stop them. fight for a kingdom, it people, and the love of a brave princess, he come face to face with the unstopp warrior he thought onli exist in legend–and get the chanc to becom a legend himself. action famili fantasi based_on_fairy_tal giant nicholas_hoult eleanor_tomlinson ewan_mcgregor stanley_tucci ian_mcshan bryan_sing"
49,64682,The Great Gatsby,"an adapt of f. scott fitzgerald' long island-set novel, where midwestern nick carraway is lure into the lavish world of hi neighbor, jay gatsby. soon enough, however, carraway will see through the crack of gatsby' nouveau rich existence, where obsession, madness, and tragedi await. drama romanc based_on_novel infidel obsess hope 3d leonardo_dicaprio tobey_maguir carey_mulligan joel_edgerton elizabeth_debicki baz_luhrmann"
50,9543,Prince of Persia: The Sands of Time,"a rogu princ reluctantli join forc with a mysteri princess and together, they race against dark forc to safeguard an ancient dagger capabl of releas the sand of time – gift from the god that can revers time and allow it possessor to rule the world. adventur fantasi action romanc persia sandstorm brother_against_broth armageddon regent based_on_video_gam jake_gyllenha gemma_arterton ben_kingsley alfred_molina steve_toussaint mike_newel"
51,68726,Pacific Rim,"when legion of monstrou creatures, known as kaiju, start rise from the sea, a war began that would take million of live and consum humanity' resourc for year on end. to combat the giant kaiju, a special type of weapon wa devised: massiv robots, call jaegers, which are control simultan by two pilot whose mind are lock in a neural bridge. but even the jaeger are prove nearli defenseless in the face of the relentless kaiju. on the verg of defeat, the forc defend mankind have no choic but to turn to two unlik heroes—a washed-up former pilot (charli hunnam) and an untest traine (rinko kikuchi)—who are team to drive a legendari but seemingli obsolet jaeger from the past. together, they stand as mankind' last hope against the mount apocalypse. action science_fict adventur dystopia giant_robot giant_monst apocalyps imax duringcreditssting 3d idris_elba charlie_hunnam charlie_day ron_perlman burn_gorman guillermo_del_toro"
52,38356,Transformers: Dark of the Moon,"sam witwicki take hi first tenuou step into adulthood while remain a reluct human alli of autobot-lead optimu prime. the film center around the space race between the ussr and the usa, suggest there wa a hidden transform role in it all that remain one of the planet' most danger secrets. action science_fict adventur moon spacecraft traitor bodyguard alien_planet based_on_cartoon transform giant_robot sabotag word_domin commando duringcreditssting shia_labeouf john_malkovich ken_jeong frances_mcdormand josh_duhamel michael_bay"
53,217,Indiana Jones and the Kingdom of the Crystal Skull,"set dure the cold war, the soviet – led by sword-wield irina spalko – are in search of a crystal skull which ha supernatur power relat to a mystic lost citi of gold. after be captur and then escap from them, indi is coerc to head to peru at the behest of a young man whose friend – and indy' colleagu – professor oxley ha been captur for hi knowledg of the skull' whereabouts. adventur action saving_the_world riddl whip treasur mexico_c leather_jacket machinegun alien_phenomenon maya_civil peru treasure_hunt nuclear_explos refriger archaeologist indiana_jon archeology  harrison_ford cate_blanchett shia_labeouf ray_winston karen_allen steven_spielberg"
54,105864,The Good Dinosaur,an epic journey into the world of dinosaur where an apatosauru name arlo make an unlik human friend. adventur anim famili tyrannosaurus_rex friend alternate_histori dinosaur fear storm natur human journey raymond_ochoa jack_bright jeffrey_wright frances_mcdormand maleah_nipay-padilla peter_sohn
55,62177,Brave,"brave is set in the mystic scottish highlands, where mérida is the princess of a kingdom rule by king fergu and queen elinor. an unruli daughter and an accomplish archer, mérida one day defi a sacr custom of the land and inadvert bring turmoil to the kingdom. in an attempt to set thing right, mérida seek out an eccentr old wise woman and is grant an ill-fat wish. also figur into mérida’ quest — and serv as comic relief — are the kingdom’ three lords: the enorm lord macguffin, the surli lord macintosh, and the disagre lord dingwall. anim adventur comedi famili action fantasi scotland rebel braveri kingdom archer wish bear scot rebellious_daught turns_into_anim archeri ruin aftercreditssting peace_off woman_director courag 3d kelly_macdonald julie_walt billy_connolli emma_thompson kevin_mckidd steve_purcel mark_andrew brenda_chapman"
56,188927,Star Trek Beyond,"the uss enterpris crew explor the furthest reach of unchart space, where they encount a mysteri new enemi who put them and everyth the feder stand for to the test. action adventur science_fict sequel strand hatr space_opera chris_pin zachary_quinto karl_urban simon_pegg zoe_saldana justin_lin"
57,10681,WALL·E,"wall· is the last robot left on an earth that ha been overrun with garbag and all human have fled to outer space. for 700 year he ha continu to tri and clean up the mess, but ha develop some rather interest human-lik qualities. when a ship arriv with a sleek new type of robot, wall· think he' final found a friend and stow away on the ship when it leaves. anim famili romantic_comedi ben_burtt elissa_knight jeff_garlin fred_willard john_ratzenberg andrew_stanton"
58,5174,Rush Hour 3,"after an attempt assassin on ambassador han, inspector lee and detect carter are back in action as they head to pari to protect a french woman with knowledg of the triads' secret leaders. lee also hold secret meet with a unit nation authority, but hi person struggl with a chines crimin mastermind name kenji, which reveal that it' lee' long-lost...brother. action comedi crime thriller ambassador chris_tuck jackie_chan hiroyuki_sanada max_von_sydow yvan_att brett_ratn"
59,14161,2012,"dr. adrian helmsley, part of a worldwid geophys team investig the effect on the earth of radiat from unpreced solar storms, learn that the earth' core is heat up. he warn u.s. presid thoma wilson that the crust of the earth is becom unstabl and that without proper prepar for save a fraction of the world' population, the entir race is doomed. meanwhile, writer jackson curti stumbl on the same information. while the world' leader race to build ""arks"" to escap the impend cataclysm, curti struggl to find a way to save hi family. meanwhile, volcan erupt and earthquak of unpreced strength wreak havoc around the world. action adventur science_fict civil natural_disast end_of_the_world disast apocalyps destruct volcanic_erupt mayan ark solar destruction__of_mankind john_cusack amanda_peet chiwetel_ejiofor thandie_newton oliver_platt harald_klos roland_emmerich"
60,17979,A Christmas Carol,"miser ebenez scroog is awaken on christma eve by spirit who reveal to him hi own miser existence, what opportun he wast in hi youth, hi current cruelties, and the dire fate that await him if he doe not chang hi ways. scroog is face with hi own stori of grow bitter and meanness, and must decid what hi own futur will hold: death or redemption. anim drama holiday based_on_novel victorian_england money christmas_ev scroog christmas_carol ghost lesson charles_dicken christma gary_oldman jim_carrey steve_valentin daryl_sabara sage_ryan robert_zemecki"
61,76757,Jupiter Ascending,"in a univers where human genet materi is the most preciou commodity, an impoverish young earth woman becom the key to strateg maneuv and intern strife within a power dynasty… science_fict fantasi action adventur jupit space woman_director 3d interspecies_rom mila_kuni channing_tatum sean_bean eddie_redmayn douglas_booth lilly_wachowski lana_wachowski"
62,258489,The Legend of Tarzan,"tarzan, have acclim to life in london, is call back to hi former home in the jungl to investig the activ at a mine encampment. action adventur africa feral_child tarzan jungl animal_attack alexander_skarsgård margot_robbi christoph_waltz samuel_l._jackson djimon_houns john_colle david_y"
